streetNumber,streetName,streetType,suburb,postcode,state,geoLocation/latitude,geoLocation/longitude,propertyType,bedrooms,bathrooms,carspaces,price,result,agent,id,agencyId,agencyName,agencyProfilePageUrl,propertyDetailsUrl,unitNumber
10,Templeman,Ct,Aspendale Gardens,3195,Vic,-38.0201872,145.1197157,House,4,2,2,1250000,AUSD,Hodges Mentone/Chelsea,2017803633,3918,Hodges Mentone/Chelsea,https://www.domain.com.au/real-estate-agencies/hodgesmentonechelsea-3918,https://www.domain.com.au/10-templeman-court-aspendale-gardens-vic-3195-2017803633,
53,North,Rd,Avondale Heights,3034,Vic,-37.7544638,144.8574156,House,3,1,1,995000,AUSP,Nelson Alexander Keilor East,2017795120,15596,Nelson Alexander Keilor East,https://www.domain.com.au/real-estate-agencies/nelsonalexanderkeiloreast-15596,https://www.domain.com.au/53-north-road-avondale-heights-vic-3034-2017795120,
28,Rhonda,St,Avondale Heights,3034,Vic,-37.7705396,144.8558688,House,3,1,1,860000,AUSP,Moonee Valley Real Estate,2017783222,11740,Moonee Valley Real Estate,https://www.domain.com.au/real-estate-agencies/mooneevalleyrealestate,https://www.domain.com.au/28-rhonda-street-avondale-heights-vic-3034-2017783222,
31a,Riverside,Av,Avondale Heights,3034,Vic,-37.7691131,144.8591773,Townhouse,3,2,1,840000,AUSP,Nelson Alexander Keilor East,2017793133,15596,Nelson Alexander Keilor East,https://www.domain.com.au/real-estate-agencies/nelsonalexanderkeiloreast-15596,https://www.domain.com.au/31a-riverside-avenue-avondale-heights-vic-3034-2017793133,
40,Robson,Av,Avondale Heights,3034,Vic,-37.7662823,144.8564918,House,3,1,1,1110000,AUSP,Moonee Valley Real Estate,2017755731,11740,Moonee Valley Real Estate,https://www.domain.com.au/real-estate-agencies/mooneevalleyrealestate,https://www.domain.com.au/40-robson-avenue-avondale-heights-vic-3034-2017755731,
39,San Remo,Dr,Avondale Heights,3034,Vic,-37.7585556,144.8693186,House,4,2,2,,AUHB,Nelson Alexander Keilor East,2017791697,15596,Nelson Alexander Keilor East,https://www.domain.com.au/real-estate-agencies/nelsonalexanderkeiloreast-15596,https://www.domain.com.au/39-san-remo-drive-avondale-heights-vic-3034-2017791697,
27,Blenheim,St,Balaclava,3183,Vic,-37.8675089,144.9943273,House,3,1,0,,AUSN,Buxton St Kilda,2017796335,15964,Buxton St Kilda,https://www.domain.com.au/real-estate-agencies/buxtonstkilda-15964,https://www.domain.com.au/27-blenheim-street-balaclava-vic-3183-2017796335,
5,Edward,St,Balaclava,3183,Vic,-37.8668055,144.991426,House,3,2,1,,AUSD,The Agency - Port Phillip / Bayside,2017801871,29954,The Agency - Port Phillip / Bayside,https://www.domain.com.au/real-estate-agencies/theagencyportphillipbayside-29954,https://www.domain.com.au/5-edward-street-balaclava-vic-3183-2017801871,
6,Canyon,St,Balwyn,3103,Vic,-37.8062769,145.0678797,House,5,4,2,3480000,AUSD,Buxton Ashburton,2017754566,28347,Buxton Camberwell,https://www.domain.com.au/real-estate-agencies/buxtoncamberwell-28347,https://www.domain.com.au/6-canyon-street-balwyn-vic-3103-2017754566,
20,Evelina,St,Balwyn,3103,Vic,-37.8053934,145.1041986,House,5,3,2,2800000,AUSP,Marshall White Balwyn,2017794003,31019,Marshall White Balwyn,https://www.domain.com.au/real-estate-agencies/marshallwhitebalwyn-31019,https://www.domain.com.au/20-evelina-street-balwyn-vic-3103-2017794003,
