streetNumber,streetName,streetType,suburb,postcode,state,geoLocation/latitude,geoLocation/longitude,propertyType,bedrooms,bathrooms,price,result,agent
47,Packham,St,Box Hill North,3129,Vic,-37.8078111,145.134857,Unit,2,1,N/A,AUSD,Buxton Box Hill
837,Station,St,Box Hill North,3129,Vic,-37.8096664,145.1252112,House,5,3,1560000,AUSD,Buxton Box Hill
93,Churchill,Av,Braybrook,3019,Vic,-37.7861505,144.8589625,House,4,3,N/A,AUHB,Village Real Estate - Seddon
6,Ravenhall,St,Braybrook,3019,Vic,-37.7871381,144.8476883,Unit,3,1,630000,AUSP,Barry Plant Sunshine
139,Carpenter,St,Brighton,3186,Vic,-37.90672,145.001905,House,3,1,N/A,AUPN,Follett & Co
121,Martin,St,Brighton,3186,Vic,-37.8969376,145.0023515,Unit,2,3,900000,AUHB,Steveway Real Estate
22b,South,Rd,Brighton,3186,Vic,-37.9286085,144.9951343,Townhouse,3,3,1760000,AUSD,Hodges Brighton
51,Were,St,Brighton,3186,Vic,-37.9245941,144.993133,House,4,2,3250000,AUHB,Buxton Brighton
9,Carr,St,Brighton East,3187,Vic,-37.927547,145.0278286,House,4,2,N/A,AUPN,Marshall White Balwyn
19,Heathfield,Rd,Brighton East,3187,Vic,-37.9270174,145.0070354,House,5,3,2800000,AUHB,Marshall White Balwyn
10b,Lysander,St,Brighton East,3187,Vic,-37.9208257,145.0154295,Townhouse,4,2,1240000,AUSD,Buxton Hampton East
55,Marriage,Rd,Brighton East,3187,Vic,-37.9190409,145.012864,House,4,2,N/A,AUSP,Buxton Bentleigh
607,Nepean,Hwy,Brighton East,3187,Vic,-37.9136226,145.0162908,House,2,1,880000,AUSD,RW Moorabbin
18,Primrose,Cr,Brighton East,3187,Vic,-37.9137988,145.0144039,Townhouse,3,2,N/A,AUSD,Buxton Brighton
377,South,Rd,Brighton East,3187,Vic,-37.931907,145.02887,Unit,2,1,N/A,AUHB,Hodges Sandringham
22,Wrixon,Av,Brighton East,3187,Vic,-37.9082656,145.0238676,House,4,2,N/A,AUSP,C21 on Centre
20,Fashion,Pde,Broadmeadows,3047,Vic,-37.6893122,144.9490954,House,3,2,590000,AUHB,YPA EA Glenroy
9,Glen Allan,St,Broadmeadows,3047,Vic,-37.6925926,144.9203877,House,3,1,675000,AUHB,YPA EA Glenroy
22,Graham,St,Broadmeadows,3047,Vic,-37.6920347,144.9314395,House,4,2,N/A,AUPI,Barry Plant Glenroy
11,Aberdeen,St,Brunswick,3056,Vic,-37.7670145,144.9698959,Unit,2,1,510000,AUSD,NAY Brunswick
164,Albion,St,Brunswick,3056,Vic,-37.7614638,144.966669,House,4,1,N/A,AUSN,Walshe & Whitelock Pty Ltd
103,Blyth,St,Brunswick,3056,Vic,-37.766116,144.9703691,House,4,2,1408888,AUSD,NAY Brunswick
67,Blyth,St,Brunswick,3056,Vic,-37.7659008,144.9682824,Villa,2,1,788000,AUSD,NAY Brunswick
10,Donald,St,Brunswick,3056,Vic,-37.757936,144.9649911,Unit,2,1,520000,AUVB,Woodards
